,submit_time,duration,cpu,memory,job_id,task_id,instances_num,disk
52,16454,8.0,0.5,0.004074237051225636,27,140,1,0
53,16454,46.06666666666667,0.5,0.01600704061294748,27,141,195,0
54,16454,24.85185185185185,0.5,0.008050112598037947,27,142,54,0
55,16454,28.666666666666668,0.5,0.00805528951932286,27,143,3,0
56,16454,29.0,0.5,0.013356456915072607,27,144,2,0
57,16454,257.010989010989,0.5,0.009106204540159969,27,145,91,0
58,16454,263.8965517241379,0.5,0.008174358708875831,27,146,87,0
59,16454,270.5925925925926,0.5,0.008552273962674398,27,147,27,0
60,16454,275.95652173913044,0.5,0.008019051070328475,27,148,23,0
61,16454,60.81818181818182,0.5,0.008707581601221755,27,149,11,0
62,16454,67.42857142857143,0.5,0.008888773846193668,27,150,7,0
63,18684,101.37638376383764,0.5,0.010705873217197731,33,173,271,0
64,18684,72.36129032258064,0.5,0.010705873217197731,33,174,155,0
65,18684,3.0,0.5,0.005404705821447985,33,175,1,0
66,18684,22.098039215686274,0.5,0.01600704061294748,33,176,51,0
67,18684,38.56140350877193,0.5,0.010705873217197731,33,177,171,0
68,18684,29.017543859649123,0.5,0.010705873217197731,33,178,171,0
69,18684,32.46783625730994,0.5,0.010705873217197731,33,179,171,0
70,18684,68.36507936507937,0.5,0.010705873217197731,33,180,189,0
71,21094,4.0,0.5,0.005404705821447985,34,181,1,0
72,21094,6.0,0.5,0.01600704061294748,34,182,447,0
73,21836,1.0,0.5,0.004094944736365284,48,283,1,0
74,21836,1.0,0.5,0.005404705821447985,48,284,1,0
75,21873,1.5,0.5,0.004094944736365284,50,295,35,0
76,24947,6.0,0.5,0.004037998602231253,59,415,1,0
77,24948,5.0,0.5,0.004063883208655812,61,437,1,0
78,24948,45.528301886792455,0.5,0.013356456915072607,61,438,319,0
79,26109,28.800391389432484,1.0,0.005736028783682345,67,477,511,0
80,27356,163.0448979591837,0.5,0.010705873217197731,68,478,245,0
81,27356,40.666666666666664,0.5,0.010705873217197731,68,479,24,0
82,27356,37.44318181818182,0.5,0.013356456915072607,68,480,88,0
83,31257,218.75669099756692,0.5,0.00839178940284213,77,526,411,0
84,31257,53.32051282051282,0.5,0.01600704061294748,77,527,78,0
85,31257,66.09505703422053,0.5,0.01600704061294748,77,528,263,0
86,31353,28.5,0.5,0.013356456915072607,79,533,25,0
87,31353,31.5,0.5,0.01600704061294748,79,536,105,0
88,32274,111.6198347107438,0.5,0.010705873217197731,82,545,121,0
89,32274,51.3125,0.5,0.010705873217197731,82,546,32,0
90,32274,67.51063829787235,0.5,0.01600704061294748,82,547,47,0
91,36241,71.70149253731343,0.5,0.007863743431781119,85,552,67,0
92,36241,94.04761904761905,0.5,0.007848212667926385,85,553,21,0
93,36241,21.941176470588236,0.5,0.01600704061294748,85,554,17,0
94,36241,3.0,0.5,0.0040587062873709,85,555,1,0
95,36241,42.535714285714285,0.5,0.01600704061294748,85,556,28,0
96,36241,4.0,0.5,0.004094944736365284,85,557,1,0
